kcet,college
11.37,"Suryodaya College of Engineering & Technology, Nagpur"
35.53,"JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha"
68.21,"Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani"
75.43,"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur"
36.85,"Datta Meghe Institute of Medical Science's Datta Meghe Institute of Engineering & Technology & Research, Savangi (Meghe)"
13.24,"Shree Tuljabhavani College of Engineering, Tuljapur"
27.68,"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath."
15.34,"Bhagwant Institute of Technology, Barshi"
20.81,"Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj"
42.39,Rajendra Mane College of Engineering & Technology Ambav Deorukh
37.3,"Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)"
57.93,"T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur"
67.28,"S.S.P.M.'s College of Engineering, Kankavli"
10.74,"Nanasaheb Mahadik College of Engineering,Walwa, Sangli."
78.93,"P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar"
68.74,"Jaidev Education Society, J D College of Engineering and Management, Nagpur"
52.84,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel"
84.19,Phaltan Education Society's College of Engineering Thakurki Tal- Phaltan Dist-Satara
67.8,"Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati"
28.46,"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat, Mumbai"
37.75,"Saraswati Education Society, Yadavrao Tasgaonkar College of Engineering and Management, Nasarapur, Chandai, Karjat"
67.03,"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad"
51.97,"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Badravati"
67.57,"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule"
39.01,"Holy-Wood Academy's Sanjeevan Engineering and Technology Institute, Panhala"
26.72,"Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi, Varye,Satara."
60.45,"Dr.Rajendra Gode Institute of Technology & Research, Amravati"
16.4,Shree Siddheshwar Women's College Of Engineering Solapur.
89.25,"Indala College Of Engineering, Bapsai Tal.Kalyan"
97.93,"Pune Vidyarthi Griha's College of Engineering and Technology, Pune"
69.58,"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai"
42.64,"Rajgad Dnyanpeeth's Technical Campus,Dhangwadi, Bhor"
22.45,"Jaywant College of Engineering & Management, Kille Macchindragad Tal. Walva"
68.58,"New Horizon Institute of Technology & Management, Thane"
